,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:0cb815a911bc,AirBeam3:0cb815a911bc,AirBeam3:0cb815a911bc,AirBeam3:0cb815a911bc,AirBeam3:0cb815a911bc
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Alexandra activation,2026-08-28T09:26:39.000,-26.0998088,28.1076495,78.0,15.0,17.0,16.0,39.0
2,Alexandra activation,2026-08-28T09:26:44.000,-26.0998088,28.1076494,78.0,13.0,14.0,14.0,39.0
3,Alexandra activation,2026-08-28T09:26:49.000,-26.0998087,28.1076486,78.0,14.0,16.0,15.0,39.0
4,Alexandra activation,2026-08-28T09:26:54.000,-26.099808,28.107649,78.0,14.0,16.0,15.0,39.0
5,Alexandra activation,2026-08-28T09:26:59.000,-26.0998072,28.1076491,78.0,14.0,16.0,15.0,39.0
6,Alexandra activation,2026-08-28T09:27:04.000,-26.0998189,28.107677,78.0,13.0,15.0,14.0,39.0
7,Alexandra activation,2026-08-28T09:27:09.000,-26.0998192,28.10768,78.0,14.0,15.0,15.0,38.0
8,Alexandra activation,2026-08-28T09:27:14.000,-26.099819,28.1076798,78.0,14.0,16.0,15.0,38.0
9,Alexandra activation,2026-08-28T09:27:19.000,-26.0998185,28.1076923,78.0,14.0,16.0,15.0,38.0
10,Alexandra activation,2026-08-28T09:27:24.000,-26.0998269,28.1077255,78.0,16.0,18.0,17.0,38.0
11,Alexandra activation,2026-08-28T09:27:29.000,-26.0998374,28.1077512,78.0,16.0,18.0,17.0,38.0
12,Alexandra activation,2026-08-28T09:27:34.000,-26.0998412,28.1077511,78.0,16.0,18.0,17.0,38.0
13,Alexandra activation,2026-08-28T09:27:39.000,-26.0998428,28.1077469,78.0,16.0,18.0,17.0,38.0
14,Alexandra activation,2026-08-28T09:27:44.000,-26.0998415,28.1077463,78.0,16.0,18.0,17.0,38.0
15,Alexandra activation,2026-08-28T09:27:49.000,-26.0998587,28.1077787,78.0,14.0,15.0,14.0,39.0
16,Alexandra activation,2026-08-28T09:27:54.000,-26.0998763,28.1078096,78.0,16.0,18.0,17.0,39.0
17,Alexandra activation,2026-08-28T09:27:59.000,-26.0998907,28.1078283,78.0,15.0,17.0,16.0,39.0
18,Alexandra activation,2026-08-28T09:28:04.000,-26.0999214,28.1078444,78.0,15.0,17.0,16.0,39.0
19,Alexandra activation,2026-08-28T09:28:09.000,-26.0999348,28.1078894,78.0,15.0,17.0,16.0,39.0
20,Alexandra activation,2026-08-28T09:28:14.000,-26.0999371,28.1079249,78.0,15.0,17.0,16.0,39.0
21,Alexandra activation,2026-08-28T09:28:19.000,-26.0999796,28.1079708,78.0,16.0,18.0,17.0,39.0
22,Alexandra activation,2026-08-28T09:28:24.000,-26.1000419,28.1080101,78.0,16.0,18.0,17.0,39.0
23,Alexandra activation,2026-08-28T09:28:29.000,-26.1000637,28.1080516,78.0,18.0,21.0,20.0,39.0
24,Alexandra activation,2026-08-28T09:28:34.000,-26.100085,28.1080754,78.0,19.0,22.0,21.0,39.0
25,Alexandra activation,2026-08-28T09:28:39.000,-26.1000986,28.1081156,78.0,19.0,23.0,21.0,39.0
26,Alexandra activation,2026-08-28T09:28:44.000,-26.1001015,28.1081647,78.0,17.0,20.0,19.0,39.0
27,Alexandra activation,2026-08-28T09:28:49.000,-26.1000862,28.1081993,78.0,15.0,17.0,16.0,39.0
28,Alexandra activation,2026-08-28T09:28:54.000,-26.1000781,28.1081766,78.0,15.0,17.0,16.0,39.0
29,Alexandra activation,2026-08-28T09:28:59.000,-26.1000587,28.1081993,78.0,14.0,16.0,15.0,39.0
30,Alexandra activation,2026-08-28T09:29:04.000,-26.1000291,28.1082199,78.0,15.0,17.0,16.0,39.0
31,Alexandra activation,2026-08-28T09:29:09.000,-26.1000194,28.1082417,78.0,15.0,17.0,16.0,39.0
32,Alexandra activation,2026-08-28T09:29:14.000,-26.0999865,28.1082686,78.0,14.0,16.0,15.0,39.0
33,Alexandra activation,2026-08-28T09:29:19.000,-26.0999526,28.1082685,78.0,13.0,15.0,14.0,39.0
34,Alexandra activation,2026-08-28T09:29:24.000,-26.0999477,28.1083828,78.0,13.0,14.0,14.0,39.0
35,Alexandra activation,2026-08-28T09:29:29.000,-26.0999376,28.1084536,77.0,14.0,15.0,15.0,39.0
36,Alexandra activation,2026-08-28T09:29:34.000,-26.0998987,28.1084692,77.0,14.0,16.0,15.0,39.0
37,Alexandra activation,2026-08-28T09:29:39.000,-26.0998802,28.1085054,77.0,14.0,16.0,15.0,39.0
38,Alexandra activation,2026-08-28T09:29:44.000,-26.0998786,28.1085263,77.0,17.0,20.0,19.0,39.0
39,Alexandra activation,2026-08-28T09:29:49.000,-26.0998686,28.1085489,77.0,18.0,20.0,19.0,39.0
40,Alexandra activation,2026-08-28T09:29:54.000,-26.0998426,28.1085698,77.0,16.0,18.0,17.0,39.0
41,Alexandra activation,2026-08-28T09:29:59.000,-26.0998362,28.1085863,77.0,15.0,17.0,16.0,39.0
42,Alexandra activation,2026-08-28T09:30:04.000,-26.0998357,28.1086322,77.0,15.0,17.0,16.0,39.0
43,Alexandra activation,2026-08-28T09:30:09.000,-26.099833,28.1086838,77.0,15.0,17.0,16.0,39.0
44,Alexandra activation,2026-08-28T09:30:14.000,-26.0998117,28.1087101,78.0,16.0,18.0,17.0,39.0
45,Alexandra activation,2026-08-28T09:30:19.000,-26.0997788,28.1087317,78.0,18.0,21.0,20.0,39.0
46,Alexandra activation,2026-08-28T09:30:24.000,-26.099761,28.1087714,78.0,22.0,28.0,24.0,39.0
47,Alexandra activation,2026-08-28T09:30:29.000,-26.0997556,28.1088087,78.0,22.0,30.0,24.0,39.0
48,Alexandra activation,2026-08-28T09:30:34.000,-26.099731,28.1088396,78.0,25.0,36.0,27.0,39.0
49,Alexandra activation,2026-08-28T09:30:39.000,-26.0997243,28.1088775,78.0,23.0,32.0,25.0,39.0
50,Alexandra activation,2026-08-28T09:30:44.000,-26.0997015,28.1089214,78.0,23.0,31.0,25.0,39.0
51,Alexandra activation,2026-08-28T09:30:49.000,-26.0996944,28.1089506,78.0,22.0,29.0,24.0,39.0
52,Alexandra activation,2026-08-28T09:30:54.000,-26.0996816,28.1089882,78.0,16.0,18.0,17.0,39.0
53,Alexandra activation,2026-08-28T09:30:59.000,-26.0996572,28.109027,78.0,16.0,18.0,16.0,39.0
54,Alexandra activation,2026-08-28T09:31:04.000,-26.0996483,28.1090654,78.0,15.0,17.0,16.0,39.0
55,Alexandra activation,2026-08-28T09:31:09.000,-26.099652,28.1090922,78.0,16.0,18.0,17.0,39.0
56,Alexandra activation,2026-08-28T09:31:14.000,-26.0996422,28.1091242,78.0,16.0,18.0,17.0,39.0
57,Alexandra activation,2026-08-28T09:31:19.000,-26.0995905,28.1091421,78.0,16.0,18.0,17.0,39.0
58,Alexandra activation,2026-08-28T09:31:24.000,-26.0995589,28.1091689,78.0,14.0,16.0,15.0,39.0
59,Alexandra activation,2026-08-28T09:31:29.000,-26.0995524,28.109205,78.0,13.0,14.0,14.0,39.0
60,Alexandra activation,2026-08-28T09:31:34.000,-26.0995474,28.1092553,78.0,12.0,13.0,13.0,39.0
61,Alexandra activation,2026-08-28T09:31:39.000,-26.0995284,28.1092996,78.0,14.0,16.0,15.0,39.0
62,Alexandra activation,2026-08-28T09:31:44.000,-26.0995284,28.1093347,78.0,14.0,16.0,15.0,39.0
63,Alexandra activation,2026-08-28T09:31:49.000,-26.0995181,28.1093651,78.0,14.0,15.0,15.0,39.0
64,Alexandra activation,2026-08-28T09:31:54.000,-26.0994943,28.1094061,78.0,13.0,14.0,14.0,39.0
65,Alexandra activation,2026-08-28T09:31:59.000,-26.099497,28.1094491,78.0,16.0,18.0,17.0,39.0
66,Alexandra activation,2026-08-28T09:32:04.000,-26.0994907,28.1094882,78.0,15.0,17.0,16.0,39.0
67,Alexandra activation,2026-08-28T09:32:09.000,-26.0994968,28.1095187,78.0,14.0,15.0,15.0,39.0
68,Alexandra activation,2026-08-28T09:32:14.000,-26.0995019,28.1095601,78.0,13.0,14.0,14.0,39.0
69,Alexandra activation,2026-08-28T09:32:19.000,-26.0995219,28.1095955,77.0,12.0,13.0,13.0,38.0
70,Alexandra activation,2026-08-28T09:32:24.000,-26.0995372,28.1096318,77.0,14.0,16.0,15.0,38.0
71,Alexandra activation,2026-08-28T09:32:29.000,-26.0995569,28.1096613,77.0,14.0,16.0,15.0,38.0
72,Alexandra activation,2026-08-28T09:32:34.000,-26.0995766,28.1096925,78.0,13.0,14.0,14.0,38.0
73,Alexandra activation,2026-08-28T09:32:39.000,-26.0996094,28.1097187,77.0,14.0,16.0,15.0,38.0
74,Alexandra activation,2026-08-28T09:32:44.000,-26.0996392,28.1097425,78.0,13.0,15.0,14.0,38.0
75,Alexandra activation,2026-08-28T09:32:49.000,-26.0996681,28.1097693,78.0,12.0,13.0,13.0,38.0
76,Alexandra activation,2026-08-28T09:32:54.000,-26.0997023,28.1097955,77.0,12.0,13.0,13.0,38.0
77,Alexandra activation,2026-08-28T09:32:59.000,-26.0997391,28.1098133,77.0,14.0,16.0,15.0,38.0
78,Alexandra activation,2026-08-28T09:33:04.000,-26.0997759,28.109828,77.0,14.0,16.0,15.0,38.0
79,Alexandra activation,2026-08-28T09:33:09.000,-26.0998158,28.1098395,77.0,15.0,17.0,16.0,38.0
80,Alexandra activation,2026-08-28T09:33:14.000,-26.099855,28.1098499,77.0,14.0,16.0,16.0,38.0
81,Alexandra activation,2026-08-28T09:33:19.000,-26.0998941,28.1098697,77.0,16.0,18.0,17.0,39.0
82,Alexandra activation,2026-08-28T09:33:24.000,-26.0999348,28.1098909,77.0,14.0,16.0,15.0,38.0
83,Alexandra activation,2026-08-28T09:33:29.000,-26.0999702,28.109908,77.0,13.0,14.0,14.0,38.0
84,Alexandra activation,2026-08-28T09:33:34.000,-26.1000065,28.1099398,77.0,13.0,14.0,14.0,38.0
85,Alexandra activation,2026-08-28T09:33:39.000,-26.100038,28.1099651,77.0,12.0,13.0,13.0,38.0
86,Alexandra activation,2026-08-28T09:33:44.000,-26.1000683,28.109975,77.0,13.0,15.0,14.0,38.0
87,Alexandra activation,2026-08-28T09:33:49.000,-26.1001063,28.10999,77.0,12.0,13.0,13.0,38.0
88,Alexandra activation,2026-08-28T09:33:54.000,-26.1001437,28.1100086,77.0,12.0,13.0,13.0,38.0
89,Alexandra activation,2026-08-28T09:33:59.000,-26.100183,28.1100357,77.0,13.0,14.0,14.0,38.0
90,Alexandra activation,2026-08-28T09:34:04.000,-26.1002266,28.1100686,77.0,13.0,15.0,14.0,38.0
91,Alexandra activation,2026-08-28T09:34:09.000,-26.1002772,28.1100979,77.0,14.0,16.0,15.0,38.0
92,Alexandra activation,2026-08-28T09:34:14.000,-26.1003222,28.1101195,77.0,14.0,16.0,15.0,39.0
93,Alexandra activation,2026-08-28T09:34:19.000,-26.1003659,28.1101423,77.0,15.0,17.0,16.0,39.0
94,Alexandra activation,2026-08-28T09:34:24.000,-26.1004038,28.1101319,77.0,15.0,17.0,16.0,38.0
95,Alexandra activation,2026-08-28T09:34:29.000,-26.10046,28.1101778,77.0,14.0,16.0,15.0,39.0
96,Alexandra activation,2026-08-28T09:34:34.000,-26.1004955,28.1102197,77.0,14.0,16.0,15.0,39.0
97,Alexandra activation,2026-08-28T09:34:39.000,-26.1005335,28.1102399,77.0,14.0,16.0,15.0,39.0
98,Alexandra activation,2026-08-28T09:34:44.000,-26.1005838,28.1102409,77.0,14.0,16.0,15.0,38.0
99,Alexandra activation,2026-08-28T09:34:49.000,-26.1006483,28.1102875,77.0,14.0,16.0,15.0,39.0
100,Alexandra activation,2026-08-28T09:34:54.000,-26.1006777,28.1102969,77.0,15.0,17.0,16.0,39.0
101,Alexandra activation,2026-08-28T09:34:59.000,-26.1007187,28.1103202,77.0,15.0,17.0,16.0,39.0
102,Alexandra activation,2026-08-28T09:35:04.000,-26.1007568,28.1103484,77.0,14.0,16.0,16.0,38.0
103,Alexandra activation,2026-08-28T09:35:09.000,-26.1007938,28.1103694,77.0,13.0,14.0,14.0,38.0
104,Alexandra activation,2026-08-28T09:35:14.000,-26.1008378,28.1103899,77.0,14.0,16.0,15.0,38.0
105,Alexandra activation,2026-08-28T09:35:19.000,-26.1008936,28.110411,77.0,15.0,17.0,16.0,38.0
106,Alexandra activation,2026-08-28T09:35:24.000,-26.1009341,28.1104405,77.0,15.0,17.0,16.0,38.0
107,Alexandra activation,2026-08-28T09:35:29.000,-26.1009176,28.1104204,77.0,15.0,17.0,16.0,38.0
108,Alexandra activation,2026-08-28T09:35:34.000,-26.1009053,28.1104356,77.0,14.0,16.0,15.0,38.0
109,Alexandra activation,2026-08-28T09:35:39.000,-26.1009101,28.1104384,77.0,13.0,14.0,14.0,38.0
110,Alexandra activation,2026-08-28T09:35:44.000,-26.1009313,28.110448,77.0,14.0,16.0,15.0,38.0
111,Alexandra activation,2026-08-28T09:35:49.000,-26.1010113,28.1104677,77.0,15.0,17.0,16.0,39.0
112,Alexandra activation,2026-08-28T09:35:54.000,-26.1010381,28.1104822,77.0,15.0,17.0,16.0,39.0
113,Alexandra activation,2026-08-28T09:35:59.000,-26.101027,28.1104805,77.0,15.0,17.0,16.0,39.0
114,Alexandra activation,2026-08-28T09:36:04.000,-26.101048,28.1104888,77.0,13.0,15.0,14.0,39.0
115,Alexandra activation,2026-08-28T09:36:09.000,-26.1010907,28.110526,77.0,13.0,14.0,14.0,39.0
116,Alexandra activation,2026-08-28T09:36:14.000,-26.1011293,28.1105454,77.0,14.0,16.0,15.0,39.0
117,Alexandra activation,2026-08-28T09:36:19.000,-26.101159,28.1105624,77.0,15.0,17.0,16.0,39.0
118,Alexandra activation,2026-08-28T09:36:24.000,-26.101203,28.1105833,77.0,13.0,15.0,14.0,39.0
119,Alexandra activation,2026-08-28T09:36:29.000,-26.1012195,28.1106077,77.0,14.0,16.0,15.0,39.0
120,Alexandra activation,2026-08-28T09:36:34.000,-26.1012416,28.11062,77.0,14.0,16.0,15.0,39.0
121,Alexandra activation,2026-08-28T09:36:39.000,-26.1012555,28.1106276,78.0,13.0,15.0,14.0,39.0
122,Alexandra activation,2026-08-28T09:36:44.000,-26.101254,28.1106293,78.0,15.0,17.0,16.0,39.0
123,Alexandra activation,2026-08-28T09:36:49.000,-26.1012546,28.11063,78.0,14.0,16.0,15.0,39.0
124,Alexandra activation,2026-08-28T09:36:54.000,-26.1012545,28.1106296,78.0,14.0,16.0,15.0,39.0
