,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:0cb815a920b8,AirBeam3:0cb815a920b8,AirBeam3:0cb815a920b8,AirBeam3:0cb815a920b8,AirBeam3:0cb815a920b8
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,Africa Clean Air Forum Pretoria Run,2026-07-13T07:15:35.000,-25.751335675,28.260789016,66.0,31.0,49.0,34.0,55.0
2,Africa Clean Air Forum Pretoria Run,2026-07-13T07:15:36.000,-25.751335675,28.260789016,68.0,31.0,49.0,34.0,52.0
3,Africa Clean Air Forum Pretoria Run,2026-07-13T07:15:37.000,-25.751333199,28.260791098,68.0,38.0,66.0,43.0,52.0
4,Africa Clean Air Forum Pretoria Run,2026-07-13T07:15:38.000,-25.751333199,28.260791098,68.0,38.0,66.0,43.0,52.0
5,Africa Clean Air Forum Pretoria Run,2026-07-13T07:15:39.000,-25.751335267,28.260789744,68.0,40.0,73.0,46.0,52.0
6,Africa Clean Air Forum Pretoria Run,2026-07-13T07:15:40.000,-25.751335267,28.260789744,68.0,40.0,73.0,46.0,52.0
7,Africa Clean Air Forum Pretoria Run,2026-07-13T07:15:41.000,-25.751337827,28.260787323,68.0,40.0,73.0,46.0,52.0
8,Africa Clean Air Forum Pretoria Run,2026-07-13T07:15:42.000,-25.751337827,28.260787323,68.0,40.0,73.0,46.0,52.0
9,Africa Clean Air Forum Pretoria Run,2026-07-13T07:15:43.000,-25.751339489,28.260786041,68.0,40.0,73.0,46.0,52.0
10,Africa Clean Air Forum Pretoria Run,2026-07-13T07:15:44.000,-25.751339489,28.260786041,68.0,38.0,66.0,43.0,52.0
11,Africa Clean Air Forum Pretoria Run,2026-07-13T07:15:53.000,-25.751343473,28.260784939,68.0,30.0,47.0,33.0,52.0
12,Africa Clean Air Forum Pretoria Run,2026-07-13T07:15:55.000,-25.751343711,28.2607853,68.0,37.0,63.0,41.0,52.0
13,Africa Clean Air Forum Pretoria Run,2026-07-13T07:15:57.000,-25.751343548,28.260785385,68.0,40.0,73.0,46.0,52.0
14,Africa Clean Air Forum Pretoria Run,2026-07-13T07:15:58.000,-25.751346634,28.260785198,68.0,38.0,66.0,43.0,52.0
15,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:00.000,-25.751347044,28.260784562,68.0,35.0,60.0,39.0,52.0
16,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:02.000,-25.751347713,28.260783415,68.0,26.0,37.0,28.0,52.0
17,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:04.000,-25.751348157,28.260782978,68.0,28.0,42.0,30.0,52.0
18,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:06.000,-25.751350032,28.260781942,68.0,28.0,42.0,30.0,52.0
19,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:08.000,-25.751349865,28.260780593,68.0,30.0,47.0,33.0,52.0
20,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:10.000,-25.751350223,28.260779731,68.0,33.0,54.0,36.0,52.0
21,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:12.000,-25.751349831,28.260777568,68.0,35.0,60.0,39.0,52.0
22,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:13.000,-25.751352987,28.260773709,68.0,35.0,60.0,39.0,52.0
23,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:15.000,-25.751359121,28.260774177,68.0,37.0,63.0,41.0,52.0
24,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:17.000,-25.751364857,28.260772244,68.0,38.0,66.0,43.0,52.0
25,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:19.000,-25.751365696,28.260771526,68.0,40.0,73.0,46.0,52.0
26,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:21.000,-25.75136594,28.260772769,68.0,38.0,66.0,43.0,52.0
27,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:22.000,-25.751364647,28.260774814,68.0,38.0,66.0,43.0,52.0
28,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:23.000,-25.751364935,28.26077664,68.0,38.0,66.0,43.0,52.0
29,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:24.000,-25.751366053,28.260775819,68.0,38.0,66.0,43.0,52.0
30,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:25.000,-25.751368666,28.260776577,68.0,38.0,66.0,43.0,52.0
31,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:27.000,-25.751375058,28.260766713,68.0,38.0,66.0,43.0,52.0
32,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:28.000,-25.75138655,28.260766097,68.0,38.0,66.0,43.0,52.0
33,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:30.000,-25.7513935,28.260771834,68.0,38.0,66.0,43.0,52.0
34,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:32.000,-25.751392987,28.260769975,68.0,38.0,66.0,43.0,51.0
35,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:34.000,-25.751392632,28.260769731,68.0,38.0,66.0,43.0,52.0
36,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:36.000,-25.751391264,28.260768515,68.0,38.0,66.0,43.0,52.0
37,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:38.000,-25.751390769,28.260767832,68.0,40.0,73.0,46.0,52.0
38,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:40.000,-25.751390945,28.260770799,68.0,38.0,66.0,43.0,52.0
39,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:42.000,-25.751393366,28.260778101,68.0,35.0,60.0,39.0,52.0
40,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:43.000,-25.751396918,28.260785552,68.0,37.0,63.0,41.0,52.0
41,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:45.000,-25.751394725,28.260778834,68.0,35.0,60.0,39.0,52.0
42,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:47.000,-25.751395849,28.260773078,68.0,38.0,66.0,43.0,52.0
43,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:49.000,-25.751392763,28.260757088,68.0,38.0,66.0,43.0,52.0
44,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:51.000,-25.751376668,28.26074622,68.0,37.0,63.0,41.0,52.0
45,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:53.000,-25.751351636,28.260730991,68.0,40.0,73.0,46.0,52.0
46,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:55.000,-25.751353872,28.260696615,68.0,40.0,73.0,46.0,52.0
47,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:57.000,-25.751354092,28.260658093,68.0,43.0,79.0,49.0,52.0
48,Africa Clean Air Forum Pretoria Run,2026-07-13T07:16:58.000,-25.751354953,28.260643808,68.0,45.0,85.0,52.0,52.0
49,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:00.000,-25.751357679,28.260612866,68.0,45.0,85.0,52.0,52.0
50,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:02.000,-25.751356555,28.260591674,68.0,40.0,73.0,46.0,52.0
51,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:04.000,-25.751361796,28.260564215,68.0,38.0,66.0,43.0,52.0
52,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:06.000,-25.751365968,28.260538017,68.0,40.0,73.0,46.0,52.0
53,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:08.000,-25.751369059,28.260525458,68.0,40.0,73.0,46.0,52.0
54,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:10.000,-25.751372452,28.26051416,68.0,40.0,,,
55,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:10.000,-25.751371248,28.260511,,,66.0,,
56,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:10.000,-25.751372452,28.26051416,,,,46.0,52.0
57,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:12.000,-25.751367327,28.260509781,68.0,38.0,66.0,43.0,52.0
58,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:13.000,-25.751359935,28.260506534,68.0,,,,
59,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:13.000,-25.751362713,28.260509915,,40.0,,,
60,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:13.000,-25.751359935,28.260506534,,,73.0,,
61,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:13.000,-25.751362713,28.260509915,,,,46.0,
62,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:13.000,-25.751359935,28.260506534,,,,,52.0
63,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:15.000,-25.751358539,28.260486488,68.0,40.0,73.0,46.0,52.0
64,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:17.000,-25.751358338,28.260473638,68.0,,,,
65,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:17.000,-25.75136016,28.260454881,,38.0,,,
66,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:17.000,-25.751358338,28.260473638,,,73.0,46.0,
67,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:17.000,-25.75136016,28.260454881,,,,,52.0
68,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:19.000,-25.751360477,28.260441846,68.0,38.0,66.0,43.0,52.0
69,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:21.000,-25.751357339,28.260407318,68.0,38.0,66.0,43.0,52.0
70,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:23.000,-25.75134945,28.260388569,68.0,40.0,73.0,46.0,52.0
71,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:25.000,-25.751340353,28.260363451,68.0,38.0,66.0,43.0,52.0
72,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:27.000,-25.751333737,28.260332959,68.0,40.0,73.0,46.0,52.0
73,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:28.000,-25.751331888,28.26031793,68.0,40.0,73.0,46.0,52.0
74,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:29.000,-25.751326276,28.260293655,68.0,41.0,76.0,47.0,52.0
75,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:30.000,-25.751317267,28.260268287,68.0,43.0,79.0,49.0,52.0
76,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:31.000,-25.751317267,28.260268287,68.0,43.0,79.0,49.0,52.0
77,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:32.000,-25.751316634,28.260255566,67.0,40.0,73.0,46.0,52.0
78,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:33.000,-25.751315955,28.260242739,67.0,43.0,79.0,49.0,52.0
79,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:34.000,-25.751314946,28.26021505,67.0,40.0,73.0,46.0,52.0
80,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:35.000,-25.751314946,28.26021505,68.0,40.0,73.0,46.0,52.0
81,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:36.000,-25.751310479,28.260184084,67.0,40.0,73.0,46.0,52.0
82,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:37.000,-25.751310479,28.260184084,67.0,40.0,73.0,46.0,52.0
83,Africa Clean Air Forum Pretoria Run,2026-07-13T07:17:38.000,-25.751311851,28.260158426,67.0,40.0,73.0,46.0,52.0
